"","day","date","daily","line","type","number"
"53","Thursday",2010-03-04,1697.5,"orange","Boardings",1697
"54","Friday",2010-03-05,1905.5,"orange","Boardings",1911
"55","Saturday",2010-03-06,1369,"orange","Boardings",1374
"56","Sunday",2010-03-07,1114.5,"orange","Boardings",1101
"57","Monday",2010-03-08,1516,"orange","Boardings",1502
"58","Tuesday",2010-03-09,1727.5,"orange","Boardings",1728
"59","Wednesday",2010-03-10,1672,"orange","Boardings",1667
"60","Thursday",2010-03-11,1711.5,"orange","Boardings",1690
"61","Friday",2010-03-12,1644,"orange","Boardings",1650
"62","Saturday",2010-03-13,952.5,"orange","Boardings",969
"63","Sunday",2010-03-14,716.5,"orange","Boardings",707
"64","Monday",2010-03-15,1588,"orange","Boardings",1602
"65","Tuesday",2010-03-16,1601,"orange","Boardings",1629
"66","Wednesday",2010-03-17,1710.5,"orange","Boardings",1717
"67","Thursday",2010-03-18,1949,"orange","Boardings",1940
"68","Friday",2010-03-19,2204.5,"orange","Boardings",2183
"69","Saturday",2010-03-20,1945.5,"orange","Boardings",1967
"70","Sunday",2010-03-21,1634,"orange","Boardings",1682
"71","Monday",2010-03-22,1413,"orange","Boardings",1383
"72","Tuesday",2010-03-23,1458,"orange","Boardings",1468
"73","Wednesday",2010-03-24,1350,"orange","Boardings",1381
"74","Thursday",2010-03-25,1448,"orange","Boardings",1470
"75","Friday",2010-03-26,1710.5,"orange","Boardings",1655
"76","Saturday",2010-03-27,1561,"orange","Boardings",1505
"77","Sunday",2010-03-28,1086.5,"orange","Boardings",1050
"78","Monday",2010-03-29,1790.5,"orange","Boardings",1744
"79","Tuesday",2010-03-30,1474,"orange","Boardings",1437
"80","Wednesday",2010-03-31,1719,"orange","Boardings",1653
"81","Thursday",2010-04-01,1939.5,"orange","Boardings",1974
"82","Friday",2010-04-02,2029,"orange","Boardings",2008
"83","Saturday",2010-04-03,1836,"orange","Boardings",1826
"84","Sunday",2010-04-04,1053,"orange","Boardings",1025
"85","Monday",2010-04-05,1875.5,"orange","Boardings",1817
"86","Tuesday",2010-04-06,1776,"orange","Boardings",1937
"87","Wednesday",2010-04-07,1498.5,"orange","Boardings",1450
"88","Thursday",2010-04-08,1764,"orange","Boardings",1815
"89","Friday",2010-04-09,2399,"orange","Boardings",2499
"90","Saturday",2010-04-10,1801,"orange","Boardings",1857
"91","Sunday",2010-04-11,1231.5,"orange","Boardings",1276
"92","Monday",2010-04-12,1711.5,"orange","Boardings",1847
"93","Tuesday",2010-04-13,1643,"orange","Boardings",1643
"94","Wednesday",2010-04-14,1933,"orange","Boardings",1971
"95","Thursday",2010-04-15,1793.5,"orange","Boardings",1937
"96","Friday",2010-04-16,2191,"orange","Boardings",2369
"97","Saturday",2010-04-17,1886,"orange","Boardings",1949
"98","Sunday",2010-04-18,1150.5,"orange","Boardings",1204
"99","Monday",2010-04-19,1818.5,"orange","Boardings",1912
"100","Tuesday",2010-04-20,1797,"orange","Boardings",1797
"101","Wednesday",2010-04-21,1661.5,"orange","Boardings",1726
"102","Thursday",2010-04-22,1879,"orange","Boardings",1914
"103","Friday",2010-04-23,2132,"orange","Boardings",2180
"104","Saturday",2010-04-24,1613,"orange","Boardings",1653
"105","Sunday",2010-04-25,1058.5,"orange","Boardings",1074
"106","Monday",2010-04-26,1616,"orange","Boardings",1603
"107","Tuesday",2010-04-27,1847,"orange","Boardings",1946
"108","Wednesday",2010-04-28,1728.5,"orange","Boardings",1750
"109","Thursday",2010-04-29,1746.5,"orange","Boardings",1840
"110","Friday",2010-04-30,2223,"orange","Boardings",2252
"111","Saturday",2010-05-01,2415,"orange","Boardings",2414
"112","Sunday",2010-05-02,1172.5,"orange","Boardings",1205
"113","Monday",2010-05-03,1616,"orange","Boardings",1689
"114","Tuesday",2010-05-04,1649.5,"orange","Boardings",1713
"115","Wednesday",2010-05-05,1705,"orange","Boardings",1791
"116","Thursday",2010-05-06,1826.5,"orange","Boardings",1966
"117","Friday",2010-05-07,2217,"orange","Boardings",2254
"118","Saturday",2010-05-08,1818,"orange","Boardings",1877
"119","Sunday",2010-05-09,991,"orange","Boardings",1067
"120","Monday",2010-05-10,1728,"orange","Boardings",1823
"121","Tuesday",2010-05-11,1664.5,"orange","Boardings",1713
"122","Wednesday",2010-05-12,1861,"orange","Boardings",1926
"123","Thursday",2010-05-13,1840.5,"orange","Boardings",1879
"124","Friday",2010-05-14,2536,"orange","Boardings",2630
"125","Saturday",2010-05-15,1998,"orange","Boardings",1883
"126","Sunday",2010-05-16,1056,"orange","Boardings",1022
"127","Monday",2010-05-17,1932.5,"orange","Boardings",1903
"128","Tuesday",2010-05-18,1622,"orange","Boardings",1644
"129","Wednesday",2010-05-19,1822,"orange","Boardings",1809
"130","Thursday",2010-05-20,2153,"orange","Boardings",2166
"131","Friday",2010-05-21,2541,"orange","Boardings",2626
"132","Saturday",2010-05-22,1549,"orange","Boardings",1668
"133","Sunday",2010-05-23,1018,"orange","Boardings",1076
"134","Monday",2010-05-24,1660,"orange","Boardings",1768
"135","Tuesday",2010-05-25,1758,"orange","Boardings",1827
"136","Wednesday",2010-05-26,2077.5,"orange","Boardings",2166
"137","Thursday",2010-05-27,2190,"orange","Boardings",2249
"138","Friday",2010-05-28,2249,"orange","Boardings",2341
"139","Saturday",2010-05-29,1722.5,"orange","Boardings",1774
"140","Sunday",2010-05-30,1370.5,"orange","Boardings",1439
"141","Monday",2010-05-31,1466.5,"orange","Boardings",1454
"142","Tuesday",2010-06-01,1912,"orange","Boardings",1973
"143","Wednesday",2010-06-02,1846,"orange","Boardings",1925
"144","Thursday",2010-06-03,2042.5,"orange","Boardings",2087
"145","Friday",2010-06-04,2024.5,"orange","Boardings",2132
"146","Saturday",2010-06-05,1842.5,"orange","Boardings",1896
"147","Sunday",2010-06-06,965,"orange","Boardings",1099
"148","Monday",2010-06-07,3072.5,"orange","Boardings",2050
"149","Tuesday",2010-06-08,3681,"orange","Boardings",2483
"150","Wednesday",2010-06-09,3368,"orange","Boardings",1743
"151","Thursday",2010-06-10,4146.5,"orange","Boardings",2249
"152","Friday",2010-06-11,5213,"orange","Boardings",3107
"153","Saturday",2010-06-12,4143,"orange","Boardings",2392
"154","Sunday",2010-06-13,2698,"orange","Boardings",1394
"155","Monday",2010-06-14,4047.5,"orange","Boardings",2254
"156","Tuesday",2010-06-15,4036.5,"orange","Boardings",2185
"157","Wednesday",2010-06-16,3363,"orange","Boardings",1604
"158","Thursday",2010-06-17,3655,"orange","Boardings",2024
"159","Friday",2010-06-18,4199,"orange","Boardings",1790
"160","Saturday",2010-06-19,3848,"orange","Boardings",1928
"161","Sunday",2010-06-20,2681.5,"orange","Boardings",1461
"162","Monday",2010-06-21,3759,"orange","Boardings",2235
"163","Tuesday",2010-06-22,4298,"orange","Boardings",2061
"164","Wednesday",2010-06-23,4660,"orange","Boardings",2231
"165","Thursday",2010-06-24,4596,"orange","Boardings",2423
"166","Friday",2010-06-25,6117.5,"orange","Boardings",3410
"167","Saturday",2010-06-26,4447,"orange","Boardings",2483
"168","Sunday",2010-06-27,3104,"orange","Boardings",1518
"169","Monday",2010-06-28,4237,"orange","Boardings",2325
"170","Tuesday",2010-06-29,4403.5,"orange","Boardings",2204
"171","Wednesday",2010-06-30,3963.5,"orange","Boardings",2681
"172","Thursday",2010-07-01,4978.5,"orange","Boardings",2882
"173","Friday",2010-07-02,5516,"orange","Boardings",2874
"174","Saturday",2010-07-03,4996,"orange","Boardings",2536
"175","Sunday",2010-07-04,4080,"orange","Boardings",1900
"176","Monday",2010-07-05,3618,"orange","Boardings",1658
"177","Tuesday",2010-07-06,4415.5,"orange","Boardings",2229
"178","Wednesday",2010-07-07,4937.5,"orange","Boardings",2274
"179","Thursday",2010-07-08,5354,"orange","Boardings",2614
"180","Friday",2010-07-09,5941,"orange","Boardings",2807
"181","Saturday",2010-07-10,4076.5,"orange","Boardings",1863
"182","Sunday",2010-07-11,3775.5,"orange","Boardings",1765
"183","Monday",2010-07-12,4558,"orange","Boardings",2310
"184","Tuesday",2010-07-13,5144.5,"orange","Boardings",2482
"185","Wednesday",2010-07-14,4471,"orange","Boardings",2236
"186","Thursday",2010-07-15,5256,"orange","Boardings",2655
"187","Friday",2010-07-16,4994,"orange","Boardings",2324
"188","Saturday",2010-07-17,5075.5,"orange","Boardings",1528
"189","Sunday",2010-07-18,3376,"orange","Boardings",1257
"190","Monday",2010-07-19,4532,"orange","Boardings",2459
"191","Tuesday",2010-07-20,4473.5,"orange","Boardings",2383
"192","Wednesday",2010-07-21,5312,"orange","Boardings",2737
"193","Thursday",2010-07-22,5224.5,"orange","Boardings",2801
"194","Friday",2010-07-23,6081,"orange","Boardings",3037
"195","Saturday",2010-07-24,4449.5,"orange","Boardings",2192
"196","Sunday",2010-07-25,3281.5,"orange","Boardings",1582
"197","Monday",2010-07-26,5458.5,"orange","Boardings",2774
"198","Tuesday",2010-07-27,5644.5,"orange","Boardings",2647
"199","Wednesday",2010-07-28,5809,"orange","Boardings",2849
"200","Thursday",2010-07-29,5280.5,"orange","Boardings",2603
"201","Friday",2010-07-30,6617,"orange","Boardings",3074
"202","Saturday",2010-07-31,5223,"orange","Boardings",2385
"203","Sunday",2010-08-01,3746.5,"orange","Boardings",1553
"204","Monday",2010-08-02,5011,"orange","Boardings",2428
"205","Tuesday",2010-08-03,5267,"orange","Boardings",2493
"206","Wednesday",2010-08-04,4936,"orange","Boardings",2094
"207","Thursday",2010-08-05,5535,"orange","Boardings",2767
"208","Friday",2010-08-06,6576.5,"orange","Boardings",3108
"209","Saturday",2010-08-07,5535,"orange","Boardings",2566
"210","Sunday",2010-08-08,3906,"orange","Boardings",1706
"211","Monday",2010-08-09,4950.5,"orange","Boardings",2573
"212","Tuesday",2010-08-10,4177,"orange","Boardings",2199
"213","Wednesday",2010-08-11,5577,"orange","Boardings",NA
"214","Thursday",2010-08-12,5256,"orange","Boardings",NA
"215","Friday",2010-08-13,6900,"orange","Boardings",NA
"216","Saturday",2010-08-14,5095,"orange","Boardings",NA
"217","Sunday",2010-08-15,5279,"orange","Boardings",NA
"218","Monday",2010-08-16,7030,"orange","Boardings",NA
"219","Tuesday",2010-08-17,4980,"orange","Boardings",NA
"220","Wednesday",2010-08-18,4484,"orange","Boardings",NA
"221","Thursday",2010-08-19,4011,"orange","Boardings",NA
"222","Friday",2010-08-20,5092,"orange","Boardings",NA
"223","Saturday",2010-08-21,5185,"orange","Boardings",NA
"224","Sunday",2010-08-22,4208,"orange","Boardings",NA
"225","Monday",2010-08-23,5961,"orange","Boardings",NA
"226","Tuesday",2010-08-24,6003,"orange","Boardings",NA
"227","Wednesday",2010-08-25,4260,"orange","Boardings",NA
"228","Thursday",2010-08-26,5420,"orange","Boardings",NA
"229","Friday",2010-08-27,5050,"orange","Boardings",NA
"230","Saturday",2010-08-28,4624,"orange","Boardings",NA
"231","Sunday",2010-08-29,3587,"orange","Boardings",NA
"232","Monday",2010-08-30,5594,"orange","Boardings",NA
"233","Tuesday",2010-08-31,5665,"orange","Boardings",NA
"234","Wednesday",2010-09-01,6191,"orange","Boardings",NA
"235","Thursday",2010-09-02,6098,"orange","Boardings",NA
"236","Friday",2010-09-03,6096,"orange","Boardings",NA
"237","Saturday",2010-09-04,6396,"orange","Boardings",NA
"238","Sunday",2010-09-05,4398,"orange","Boardings",NA
"239","Monday",2010-09-06,4333,"orange","Boardings",NA
"240","Tuesday",2010-09-07,5699,"orange","Boardings",NA
"241","Wednesday",2010-09-08,5051,"orange","Boardings",NA
"242","Thursday",2010-09-09,5030,"orange","Boardings",NA
"243","Friday",2010-09-10,6180,"orange","Boardings",NA
"244","Saturday",2010-09-11,4968,"orange","Boardings",NA
"245","Sunday",2010-09-12,2762,"orange","Boardings",NA
"246","Monday",2010-09-13,5134,"orange","Boardings",NA
"247","Tuesday",2010-09-14,5019,"orange","Boardings",NA
"248","Wednesday",2010-09-15,5177,"orange","Boardings",NA
"249","Thursday",2010-09-16,4764,"orange","Boardings",NA
"250","Friday",2010-09-17,5020,"orange","Boardings",NA
"251","Saturday",2010-09-18,5885,"orange","Boardings",NA
"252","Sunday",2010-09-19,3805,"orange","Boardings",NA
"253","Monday",2010-09-20,5133,"orange","Boardings",NA
"254","Tuesday",2010-09-21,4691,"orange","Boardings",NA
"255","Wednesday",2010-09-22,4709,"orange","Boardings",NA
"256","Thursday",2010-09-23,4936,"orange","Boardings",NA
"257","Friday",2010-09-24,5694,"orange","Boardings",NA
"258","Saturday",2010-09-25,5024,"orange","Boardings",NA
"259","Sunday",2010-09-26,3525,"orange","Boardings",NA
"260","Monday",2010-09-27,5163,"orange","Boardings",NA
"261","Tuesday",2010-09-28,5618,"orange","Boardings",NA
"262","Wednesday",2010-09-29,5220,"orange","Boardings",NA
"263","Thursday",2010-09-30,4640,"orange","Boardings",NA
"264","Friday",2010-10-01,7128,"orange","Boardings",NA
"265","Saturday",2010-10-02,6018,"orange","Boardings",NA
"266","Sunday",2010-10-03,3576,"orange","Boardings",NA
"267","Monday",2010-10-04,4051,"orange","Boardings",NA
"268","Tuesday",2010-10-05,4617,"orange","Boardings",NA
"269","Wednesday",2010-10-06,5341,"orange","Boardings",NA
"270","Thursday",2010-10-07,5473,"orange","Boardings",2061
"271","Friday",2010-10-08,6439,"orange","Boardings",2491
"272","Saturday",2010-10-09,5577.5,"orange","Boardings",2181
"273","Sunday",2010-10-10,3574,"orange","Boardings",1412
"274","Monday",2010-10-11,5459,"orange","Boardings",2276
"275","Tuesday",2010-10-12,5502,"orange","Boardings",2471
"276","Wednesday",2010-10-13,4579,"orange","Boardings",1973
"277","Thursday",2010-10-14,4295,"orange","Boardings",1785
"278","Friday",2010-10-15,5912,"orange","Boardings",2572
"279","Saturday",2010-10-16,4119,"orange","Boardings",1417
"280","Sunday",2010-10-17,3015,"orange","Boardings",1180
"281","Monday",2010-10-18,4561.5,"orange","Boardings",2331
"282","Tuesday",2010-10-19,5036.5,"orange","Boardings",1815
"283","Wednesday",2010-10-20,5080,"orange","Boardings",2363
"284","Thursday",2010-10-21,5594,"orange","Boardings",2245
"285","Friday",2010-10-22,6693.5,"orange","Boardings",2680
"286","Saturday",2010-10-23,5155.5,"orange","Boardings",1879
"287","Sunday",2010-10-24,3909.5,"orange","Boardings",1542
"288","Monday",2010-10-25,5752,"orange","Boardings",2285
"289","Tuesday",2010-10-26,5688.5,"orange","Boardings",2333
"290","Wednesday",2010-10-27,5683,"orange","Boardings",2316
"291","Thursday",2010-10-28,5973.5,"orange","Boardings",2500
"292","Friday",2010-10-29,5593.5,"orange","Boardings",2447
"293","Saturday",2010-10-30,4936.5,"orange","Boardings",2231
"294","Sunday",2010-10-31,3584.5,"orange","Boardings",1245
"295","Monday",2010-11-01,4918,"orange","Boardings",1589
"296","Tuesday",2010-11-02,4361.5,"orange","Boardings",2004
"297","Wednesday",2010-11-03,4507,"orange","Boardings",2074
"298","Thursday",2010-11-04,4087.5,"orange","Boardings",1332
"299","Friday",2010-11-05,5484,"orange","Boardings",1721
"300","Saturday",2010-11-06,4636.5,"orange","Boardings",1964
"301","Sunday",2010-11-07,2795.5,"orange","Boardings",895
"302","Monday",2010-11-08,4535.5,"orange","Boardings",1474
"303","Tuesday",2010-11-09,5052,"orange","Boardings",2202
"304","Wednesday",2010-11-10,4987,"orange","Boardings",2026
"305","Thursday",2010-11-11,4390,"orange","Boardings",1999
"306","Friday",2010-11-12,6223.5,"orange","Boardings",2532
"307","Saturday",2010-11-13,4906,"orange","Boardings",1665
"308","Sunday",2010-11-14,2887.5,"orange","Boardings",1058
"309","Monday",2010-11-15,4819.5,"orange","Boardings",2119
"310","Tuesday",2010-11-16,4293,"orange","Boardings",1782
"311","Wednesday",2010-11-17,4481.5,"orange","Boardings",1320
"312","Thursday",2010-11-18,4876.5,"orange","Boardings",1846
"313","Friday",2010-11-19,5905,"orange","Boardings",1859
"314","Saturday",2010-11-20,4361,"orange","Boardings",1807
"315","Sunday",2010-11-21,2802.5,"orange","Boardings",1251
"316","Monday",2010-11-22,5121,"orange","Boardings",1853
"317","Tuesday",2010-11-23,4800,"orange","Boardings",2185
"318","Wednesday",2010-11-24,5368.5,"orange","Boardings",2352
"319","Thursday",2010-11-25,0,"orange","Boardings",NA
"320","Friday",2010-11-26,4489,"orange","Boardings",1818
"321","Saturday",2010-11-27,4128.5,"orange","Boardings",1875
"322","Sunday",2010-11-28,2669,"orange","Boardings",860
"323","Monday",2010-11-29,5105,"orange","Boardings",1778
"324","Tuesday",2010-11-30,5136,"orange","Boardings",2310
"325","Wednesday",2010-12-01,4846.5,"orange","Boardings",2018
"326","Thursday",2010-12-02,5217,"orange","Boardings",2179
"327","Friday",2010-12-03,6121,"orange","Boardings",2473
"328","Saturday",2010-12-04,4962,"orange","Boardings",2119
"329","Sunday",2010-12-05,3424,"orange","Boardings",1469
"330","Monday",2010-12-06,4781,"orange","Boardings",2102
"331","Tuesday",2010-12-07,4532.5,"orange","Boardings",1907
"332","Wednesday",2010-12-08,4919.5,"orange","Boardings",1763
"333","Thursday",2010-12-09,4432.5,"orange","Boardings",1528
"334","Friday",2010-12-10,5246.5,"orange","Boardings",2522
"335","Saturday",2010-12-11,4240.5,"orange","Boardings",1849
"336","Sunday",2010-12-12,2249.5,"orange","Boardings",816
"337","Monday",2010-12-13,4531.5,"orange","Boardings",1763
"338","Tuesday",2010-12-14,3766,"orange","Boardings",1393
"339","Wednesday",2010-12-15,4333,"orange","Boardings",1952
"340","Thursday",2010-12-16,4403.5,"orange","Boardings",1889
"341","Friday",2010-12-17,4361,"orange","Boardings",1670
"342","Saturday",2010-12-18,3255,"orange","Boardings",1260
"343","Sunday",2010-12-19,2268.5,"orange","Boardings",1095
"344","Monday",2010-12-20,4538.5,"orange","Boardings",1865
"345","Tuesday",2010-12-21,4484.5,"orange","Boardings",1824
"346","Wednesday",2010-12-22,4447,"orange","Boardings",1789
"347","Thursday",2010-12-23,4479.5,"orange","Boardings",2000
"348","Friday",2010-12-24,1674.5,"orange","Boardings",791
"349","Saturday",2010-12-25,0,"orange","Boardings",NA
"350","Sunday",2010-12-26,0,"orange","Boardings",NA
"351","Monday",2010-12-27,2744.5,"orange","Boardings",1240
"352","Tuesday",2010-12-28,4203,"orange","Boardings",1923
"353","Wednesday",2010-12-29,4351,"orange","Boardings",2009
"354","Thursday",2010-12-30,4331.5,"orange","Boardings",1868
"355","Friday",2010-12-31,4510.5,"orange","Boardings",2188
"356","Saturday",2011-01-01,3082.5,"orange","Boardings",1440
"357","Sunday",2011-01-02,2551.5,"orange","Boardings",1068
"358","Monday",2011-01-03,4974,"orange","Boardings",2045
"359","Tuesday",2011-01-04,4265,"orange","Boardings",1707
"360","Wednesday",2011-01-05,4408.5,"orange","Boardings",1775
"361","Thursday",2011-01-06,4563.5,"orange","Boardings",1991
"362","Friday",2011-01-07,5008,"orange","Boardings",1898
"363","Saturday",2011-01-08,3432.5,"orange","Boardings",1419
"364","Sunday",2011-01-09,2276.5,"orange","Boardings",987
"365","Monday",2011-01-10,4909,"orange","Boardings",2014
"366","Tuesday",2011-01-11,4624,"orange","Boardings",1892
"367","Wednesday",2011-01-12,4102,"orange","Boardings",1669
"368","Thursday",2011-01-13,4691.5,"orange","Boardings",2027
"369","Friday",2011-01-14,5980.5,"orange","Boardings",2472
"370","Saturday",2011-01-15,3450,"orange","Boardings",1368
"371","Sunday",2011-01-16,2678,"orange","Boardings",1056
"372","Monday",2011-01-17,3423.5,"orange","Boardings",1408
"373","Tuesday",2011-01-18,3306,"orange","Boardings",1257
"374","Wednesday",2011-01-19,4877,"orange","Boardings",1804
"375","Thursday",2011-01-20,4246.5,"orange","Boardings",1730
"376","Friday",2011-01-21,5096,"orange","Boardings",2208
"377","Saturday",2011-01-22,3682,"orange","Boardings",1726
"378","Sunday",2011-01-23,2228,"orange","Boardings",864
"379","Monday",2011-01-24,4204.5,"orange","Boardings",1773
"380","Tuesday",2011-01-25,4428,"orange","Boardings",1960
"381","Wednesday",2011-01-26,2959.5,"orange","Boardings",1243
"382","Thursday",2011-01-27,2295,"orange","Boardings",876
"383","Friday",2011-01-28,4314,"orange","Boardings",1842
"384","Saturday",2011-01-29,3260,"orange","Boardings",1382
"385","Sunday",2011-01-30,2243.5,"orange","Boardings",969
"386","Monday",2011-01-31,3876.5,"orange","Boardings",1439
"387","Tuesday",2011-02-01,3522,"orange","Boardings",1352
"388","Wednesday",2011-02-02,3815,"orange","Boardings",1528
"389","Thursday",2011-02-03,3745.5,"orange","Boardings",1530
"390","Friday",2011-02-04,3699,"orange","Boardings",1573
"391","Saturday",2011-02-05,2909.5,"orange","Boardings",1194
"392","Sunday",2011-02-06,2288,"orange","Boardings",896
"393","Monday",2011-02-07,3201.5,"orange","Boardings",1452
"394","Tuesday",2011-02-08,3215,"orange","Boardings",1289
"395","Wednesday",2011-02-09,3644,"orange","Boardings",1534
"396","Thursday",2011-02-10,3984.5,"orange","Boardings",1673
"397","Friday",2011-02-11,5366,"orange","Boardings",2212
"398","Saturday",2011-02-12,4468.5,"orange","Boardings",1725
"399","Sunday",2011-02-13,2916,"orange","Boardings",1259
"400","Monday",2011-02-14,4645.5,"orange","Boardings",2148
"401","Tuesday",2011-02-15,4470.5,"orange","Boardings",1594
"402","Wednesday",2011-02-16,4961,"orange","Boardings",2205
"403","Thursday",2011-02-17,5662,"orange","Boardings",2235
"404","Friday",2011-02-18,7375.5,"orange","Boardings",2265
"405","Saturday",2011-02-19,4624,"orange","Boardings",1509
"406","Sunday",2011-02-20,3568.5,"orange","Boardings",1395
"407","Monday",2011-02-21,4067.5,"orange","Boardings",1452
"408","Tuesday",2011-02-22,3989.5,"orange","Boardings",1188
"409","Wednesday",2011-02-23,5413.5,"orange","Boardings",1411
"410","Thursday",2011-02-24,5368.5,"orange","Boardings",1876
"411","Friday",2011-02-25,6149.5,"orange","Boardings",1923
"412","Saturday",2011-02-26,5826.5,"orange","Boardings",2454
"413","Sunday",2011-02-27,3974.5,"orange","Boardings",1708
"414","Monday",2011-02-28,5420,"orange","Boardings",2131
"415","Tuesday",2011-03-01,5875.5,"orange","Boardings",2503
"416","Wednesday",2011-03-02,5850,"orange","Boardings",2302
"417","Thursday",2011-03-03,6076,"orange","Boardings",2494
"418","Friday",2011-03-04,7550,"orange","Boardings",3007
"419","Saturday",2011-03-05,5648.5,"orange","Boardings",2331
"420","Sunday",2011-03-06,3285.5,"orange","Boardings",1349
"421","Monday",2011-03-07,6312,"orange","Boardings",2569
"422","Tuesday",2011-03-08,6945,"orange","Boardings",2805
"423","Wednesday",2011-03-09,6418,"orange","Boardings",2421
"424","Thursday",2011-03-10,4930,"orange","Boardings",1815
"425","Friday",2011-03-11,7698.5,"orange","Boardings",3093
"426","Saturday",2011-03-12,6436.5,"orange","Boardings",2644
"427","Sunday",2011-03-13,2805,"orange","Boardings",1181
"428","Monday",2011-03-14,6171,"orange","Boardings",2597
"429","Tuesday",2011-03-15,6400,"orange","Boardings",2604
"430","Wednesday",2011-03-16,6198.5,"orange","Boardings",2443
"431","Thursday",2011-03-17,6430,"orange","Boardings",2624
"432","Friday",2011-03-18,7831,"orange","Boardings",3168
"433","Saturday",2011-03-19,6102.5,"orange","Boardings",2632
"434","Sunday",2011-03-20,3560,"orange","Boardings",1614
"435","Monday",2011-03-21,5801,"orange","Boardings",2390
"436","Tuesday",2011-03-22,6333,"orange","Boardings",2607
"437","Wednesday",2011-03-23,6071.5,"orange","Boardings",2533
"438","Thursday",2011-03-24,6425.5,"orange","Boardings",2737
"439","Friday",2011-03-25,8192,"orange","Boardings",3265
"440","Saturday",2011-03-26,6277,"orange","Boardings",2739
"441","Sunday",2011-03-27,3941.5,"orange","Boardings",1740
"442","Monday",2011-03-28,6710,"orange","Boardings",2811
"443","Tuesday",2011-03-29,7174,"orange","Boardings",3074
"444","Wednesday",2011-03-30,6553.5,"orange","Boardings",2707
"445","Thursday",2011-03-31,6405.5,"orange","Boardings",2802
"446","Friday",2011-04-01,8081,"orange","Boardings",3461
"447","Saturday",2011-04-02,6202.5,"orange","Boardings",2747
"448","Sunday",2011-04-03,4294,"orange","Boardings",1853
"449","Monday",2011-04-04,7899.5,"orange","Boardings",3356
"450","Tuesday",2011-04-05,6360.5,"orange","Boardings",2623
"451","Wednesday",2011-04-06,6964,"orange","Boardings",2808
"452","Thursday",2011-04-07,7266,"orange","Boardings",2897
"453","Friday",2011-04-08,6947,"orange","Boardings",2862
"454","Saturday",2011-04-09,6157,"orange","Boardings",2488
"455","Sunday",2011-04-10,4235.5,"orange","Boardings",1823
